varname,varkey,firsttime,lasttime
rel2hh,p1_3,2002,2099
birthyear,p1_2b,2002,2099
age,p1_2d,2008,2099
gender,p1_1,2002,2099
educ,p1_5,2002,2099
lab_income_direct,p6_64,2002,2099
lab_income_inkind,p6_66,2002,2099
